Batch No,SGD Accuracy,NB Accuracy,PA Accuracy
71,0.7676,0.8208,0.8512
72,0.7664,0.8236,0.8444
73,0.7636,0.8064,0.8524
74,0.7704,0.8108,0.8544
75,0.77,0.822,0.8648
76,0.7768,0.8184,0.8532
77,0.7708,0.8272,0.8612
78,0.778,0.8288,0.8572
79,0.7576,0.8228,0.8556
80,0.7572,0.8208,0.8532
81,0.7696,0.8224,0.8724
82,0.7736,0.8248,0.8504
83,0.7672,0.8204,0.854
84,0.7576,0.814,0.8496
85,0.7524,0.8108,0.8464
86,0.7704,0.8188,0.8628
87,0.7616,0.8032,0.8516
88,0.7676,0.8252,0.8644
89,0.758,0.814,0.868
90,0.7612,0.8076,0.8664
91,0.76,0.8076,0.8496
92,0.7756,0.8224,0.8672
93,0.7576,0.8192,0.8504
94,0.7808,0.816,0.85
95,0.768,0.8216,0.8652
96,0.7748,0.8312,0.874
97,0.7712,0.8232,0.8544
98,0.7608,0.8156,0.86
99,0.78,0.8208,0.8756
100,0.7712,0.8048,0.8592
101,0.7628,0.814,0.8396
102,0.7704,0.8132,0.8568
103,0.7684,0.8176,0.8636
104,0.7728,0.8072,0.8548
105,0.7604,0.8028,0.8676
106,0.7508,0.8032,0.8436
107,0.7612,0.812,0.8548
108,0.7636,0.8148,0.866
109,0.7608,0.8196,0.8536
110,0.7632,0.8068,0.8524
111,0.7748,0.8096,0.8468
112,0.7496,0.812,0.8644
113,0.76,0.804,0.8488
114,0.7568,0.81,0.8628
115,0.766,0.8068,0.8652
116,0.7712,0.8068,0.8508
117,0.7544,0.8172,0.858
118,0.7688,0.8184,0.8624
119,0.7772,0.8248,0.868
120,0.7696,0.8124,0.8584
121,0.7668,0.816,0.8548
122,0.7584,0.8184,0.8656
123,0.7552,0.8092,0.858
124,0.7524,0.8036,0.844
125,0.7616,0.8012,0.8616
126,0.7588,0.8076,0.8512
127,0.768,0.8004,0.854
128,0.7684,0.8172,0.8628
129,0.7584,0.8128,0.8556
130,0.766,0.8124,0.86
131,0.76,0.8108,0.8436
132,0.7624,0.8144,0.8516
133,0.7596,0.814,0.848
134,0.7776,0.8148,0.8816
135,0.7628,0.8112,0.8764
136,0.7556,0.8144,0.866
137,0.7484,0.8036,0.8496
138,0.7668,0.8148,0.8532
139,0.7792,0.822,0.8564
140,0.7472,0.79,0.8584
141,0.7712,0.8128,0.8596
142,0.7448,0.804,0.8552
143,0.7652,0.8128,0.8656
144,0.7504,0.814,0.866
145,0.764,0.8064,0.8472
146,0.7784,0.8196,0.8592
147,0.7672,0.8232,0.8628
148,0.7596,0.8116,0.8464
149,0.7656,0.8228,0.87
150,0.7796,0.8224,0.8748
151,0.7492,0.808,0.8548
152,0.7576,0.8004,0.8548
153,0.75,0.7944,0.8524
154,0.77,0.8076,0.8628
155,0.7624,0.8064,0.8548
156,0.7484,0.8132,0.8592
157,0.7716,0.8124,0.8664
158,0.7748,0.8188,0.8712
159,0.7652,0.816,0.8636
160,0.7628,0.8184,0.8684
161,0.7524,0.7984,0.8544
162,0.7664,0.8236,0.868
163,0.7592,0.812,0.8564
164,0.7692,0.8064,0.8684
165,0.7468,0.7984,0.84
166,0.7524,0.7972,0.8432
167,0.762,0.8144,0.8748
168,0.764,0.8128,0.8568
169,0.762,0.8052,0.8536
170,0.75,0.8004,0.8424
171,0.7548,0.81,0.8652
172,0.752,0.7948,0.8556
173,0.7596,0.7944,0.852
174,0.7612,0.8016,0.854
175,0.7676,0.8052,0.8472
176,0.7784,0.8312,0.8628
177,0.7704,0.8112,0.8568
178,0.7712,0.8044,0.8532
179,0.7576,0.8008,0.862
180,0.76,0.8044,0.8692
181,0.7664,0.8124,0.8564
182,0.772,0.8164,0.8688
183,0.7584,0.8104,0.8628
184,0.758,0.8124,0.8712
185,0.7636,0.812,0.8552
186,0.7704,0.8108,0.87
187,0.7604,0.8164,0.8572
188,0.7572,0.7904,0.8556
189,0.7736,0.824,0.8664
190,0.7416,0.788,0.8368
191,0.7496,0.8016,0.858
192,0.7608,0.8072,0.848
193,0.7624,0.8128,0.8576
194,0.7888,0.816,0.8624
195,0.7744,0.8172,0.8684
196,0.7648,0.808,0.8676
197,0.7772,0.826,0.8812
198,0.7496,0.7968,0.842
199,0.7724,0.81,0.8572
200,0.7664,0.8144,0.8604
201,0.7608,0.8072,0.8652
202,0.7596,0.8168,0.8636
203,0.756,0.8064,0.8644
204,0.7692,0.8104,0.8612
205,0.7448,0.8116,0.862
206,0.7592,0.8068,0.8596
207,0.7648,0.8188,0.8536
208,0.752,0.8112,0.8488
209,0.7416,0.796,0.8472
210,0.7736,0.8028,0.8544
211,0.7552,0.8108,0.8544
212,0.76,0.808,0.8456
213,0.7628,0.8052,0.8564
214,0.7588,0.8088,0.8568
215,0.7696,0.8148,0.8676
216,0.7636,0.8016,0.8556
217,0.7732,0.798,0.8652
218,0.7584,0.8076,0.8676
219,0.754,0.8028,0.8616
220,0.7492,0.8,0.8588
221,0.7596,0.7988,0.86
222,0.762,0.7956,0.8464
223,0.7672,0.8104,0.852
224,0.748,0.816,0.8572
225,0.7736,0.8172,0.8752
226,0.7668,0.81,0.852
227,0.7576,0.8192,0.8656
228,0.772,0.8224,0.8732
229,0.7516,0.7908,0.844
230,0.76,0.8092,0.8552
231,0.744,0.7912,0.85
232,0.7476,0.7948,0.8408
233,0.7556,0.808,0.8616
234,0.7648,0.8236,0.862
235,0.7576,0.7996,0.8528
236,0.774,0.8136,0.8464
237,0.7576,0.8016,0.8528
238,0.7612,0.8084,0.862
239,0.7492,0.8112,0.852
240,0.7632,0.8016,0.8592
241,0.7492,0.8032,0.8496
242,0.758,0.806,0.862
243,0.756,0.8016,0.8616
244,0.7628,0.8124,0.8508
245,0.7512,0.802,0.8552
246,0.7564,0.7968,0.8548
247,0.7576,0.8044,0.8676
248,0.7464,0.7984,0.8532
249,0.7428,0.7968,0.8476
250,0.7708,0.8108,0.8464
251,0.7528,0.8024,0.8564
252,0.7676,0.808,0.8532
253,0.7524,0.7916,0.852
254,0.7484,0.806,0.8524
255,0.7556,0.804,0.858
256,0.7656,0.8124,0.868
257,0.7476,0.794,0.8496
258,0.7596,0.8076,0.8424
259,0.7516,0.8044,0.8516
260,0.762,0.8148,0.8672
261,0.768,0.8024,0.846
262,0.7476,0.7932,0.8504
263,0.7628,0.816,0.8688
264,0.7604,0.7996,0.8652
265,0.7812,0.8108,0.8716
266,0.7476,0.7912,0.846
267,0.752,0.798,0.8588
268,0.7412,0.8004,0.8484
269,0.7516,0.8028,0.8548
270,0.754,0.786,0.8456
271,0.7528,0.8044,0.8564
272,0.7676,0.814,0.866
273,0.7488,0.7988,0.854
274,0.7552,0.8104,0.85
275,0.7568,0.804,0.8644
276,0.7552,0.7984,0.8524
277,0.7668,0.8048,0.8668
278,0.7572,0.8108,0.8604
279,0.7564,0.7968,0.8512
280,0.7604,0.8088,0.8516
281,0.744,0.7984,0.846
282,0.7608,0.8048,0.8492
283,0.754,0.8044,0.8668
284,0.7484,0.7936,0.8512
285,0.7788,0.8172,0.8712
286,0.7628,0.8188,0.8564
287,0.768,0.8112,0.858
288,0.7592,0.808,0.8552
289,0.7616,0.8064,0.8652
290,0.7612,0.8072,0.8656
291,0.7588,0.8068,0.8604
292,0.752,0.8024,0.858
293,0.7472,0.796,0.856
294,0.7596,0.792,0.8584
295,0.7616,0.8116,0.8596
296,0.7412,0.8004,0.8512
297,0.7544,0.7992,0.8568
298,0.7616,0.8016,0.8472
299,0.7492,0.8,0.8608
300,0.7556,0.7964,0.862
301,0.7592,0.802,0.856
302,0.7568,0.8016,0.8612
303,0.7628,0.8052,0.8524
304,0.7608,0.8156,0.8592
305,0.7532,0.7956,0.854
306,0.7648,0.8076,0.87
307,0.758,0.8016,0.8608
308,0.748,0.7992,0.8584
309,0.7648,0.8036,0.8608
310,0.764,0.808,0.8488
311,0.7536,0.8104,0.8564
312,0.734,0.7984,0.8516
313,0.764,0.7988,0.866
314,0.7512,0.794,0.8584
315,0.7672,0.8072,0.8564
316,0.7536,0.8044,0.8668
317,0.7604,0.814,0.8676
318,0.7524,0.8092,0.8664
319,0.7532,0.8004,0.8568
320,0.7572,0.8056,0.872
321,0.7612,0.8096,0.8552
322,0.752,0.8104,0.8664
323,0.78,0.8092,0.8632
324,0.7528,0.7908,0.836
325,0.756,0.7952,0.8572
326,0.7732,0.8196,0.8768
327,0.76,0.7956,0.8616
328,0.7516,0.8008,0.8476
329,0.7756,0.8272,0.8824
330,0.7644,0.8116,0.8664
331,0.7364,0.7848,0.8412
332,0.7388,0.7956,0.8476
333,0.7472,0.7976,0.8548
334,0.7576,0.8016,0.86
335,0.7628,0.804,0.8616
336,0.7664,0.8128,0.8572
337,0.7596,0.8116,0.8552
338,0.7604,0.8012,0.8748
339,0.7488,0.8052,0.864
340,0.7648,0.8056,0.8712
341,0.7636,0.8044,0.8696
342,0.7652,0.8,0.8616
343,0.7636,0.8108,0.8608
344,0.7584,0.8032,0.8564
345,0.7672,0.7968,0.8676
346,0.7528,0.7992,0.85
347,0.7456,0.7884,0.8496
348,0.7472,0.7964,0.8668
349,0.762,0.8008,0.8664
350,0.7632,0.8104,0.8616
351,0.7548,0.7932,0.8496
352,0.7556,0.7952,0.8504
353,0.7384,0.7892,0.8416
354,0.764,0.8112,0.8672
355,0.7624,0.8104,0.8724
356,0.7652,0.7996,0.8568
357,0.7484,0.7864,0.8364
358,0.7612,0.8016,0.8576
359,0.744,0.7976,0.8204
360,0.7524,0.7928,0.8524
361,0.7632,0.8016,0.8588
362,0.7644,0.8068,0.8476
363,0.7716,0.8056,0.8632
364,0.7504,0.8024,0.8556
365,0.7648,0.8044,0.8552
366,0.7632,0.8128,0.8696
367,0.7688,0.8056,0.8672
368,0.7528,0.7836,0.8524
369,0.7448,0.8008,0.8568
370,0.7608,0.8016,0.8544
371,0.7476,0.7944,0.8544
372,0.758,0.8028,0.8592
373,0.7732,0.8112,0.872
374,0.7664,0.8136,0.8664
375,0.7504,0.7912,0.85
376,0.7548,0.798,0.8524
377,0.7656,0.8,0.8536
378,0.76,0.7944,0.8384
379,0.758,0.8048,0.854
380,0.7544,0.81,0.8552
381,0.7524,0.7972,0.8568
382,0.7608,0.8104,0.8596
383,0.7508,0.7888,0.8484
384,0.7428,0.7848,0.8404
385,0.7644,0.7956,0.8628
386,0.7624,0.7996,0.8672
387,0.7696,0.8152,0.852
388,0.7536,0.8,0.8508
389,0.7624,0.8084,0.852
390,0.7452,0.8004,0.8496
391,0.7628,0.7992,0.8544
392,0.7532,0.8056,0.8484
393,0.7728,0.8052,0.8588
394,0.754,0.8088,0.8436
395,0.762,0.802,0.8636
396,0.7512,0.7952,0.8588
397,0.7464,0.7904,0.8268
398,0.7604,0.798,0.8496
399,0.7608,0.8016,0.872
400,0.7532,0.7988,0.858
401,0.756,0.7988,0.8564
402,0.7684,0.8108,0.8636
403,0.7628,0.79,0.8568
404,0.7596,0.796,0.85
405,0.7744,0.796,0.8624
406,0.754,0.796,0.8444
407,0.754,0.7964,0.8504
408,0.758,0.8008,0.8468
409,0.7636,0.8024,0.868
410,0.7548,0.802,0.8568
411,0.7628,0.8108,0.86
412,0.7764,0.806,0.8556
413,0.7648,0.8068,0.8596
414,0.7484,0.7948,0.864
415,0.7552,0.7964,0.8468
416,0.7532,0.8028,0.8648
417,0.7572,0.7996,0.8588
418,0.7684,0.7988,0.8636
419,0.7512,0.7908,0.868
420,0.7428,0.798,0.854
421,0.7616,0.8,0.8572
422,0.7576,0.7992,0.856
423,0.7516,0.8008,0.8584
424,0.7444,0.7976,0.8552
425,0.7528,0.7972,0.868
426,0.7428,0.7932,0.8492
427,0.7832,0.8012,0.8648
428,0.7696,0.8124,0.8716
429,0.7552,0.8012,0.8612
430,0.752,0.7952,0.8532
431,0.768,0.8,0.8636
432,0.7588,0.7904,0.8556
433,0.754,0.7996,0.8632
434,0.768,0.8136,0.868
435,0.7588,0.8024,0.8492
436,0.7556,0.796,0.8348
437,0.7604,0.8,0.8684
438,0.766,0.8032,0.8748
439,0.7556,0.8016,0.8496
440,0.7668,0.8056,0.8632
441,0.7592,0.8088,0.846
442,0.764,0.802,0.862
443,0.77,0.8064,0.872
444,0.7492,0.7932,0.8492
445,0.7576,0.8064,0.8572
446,0.7532,0.7964,0.864
447,0.7612,0.7972,0.8624
448,0.7724,0.8064,0.8608
449,0.7544,0.802,0.8516
450,0.752,0.7988,0.854
451,0.7548,0.7984,0.8552
452,0.762,0.8104,0.8472
453,0.7696,0.8012,0.8548
454,0.77,0.8084,0.8648
455,0.7592,0.8024,0.86
456,0.768,0.8052,0.8516
457,0.7444,0.7832,0.8524
458,0.7552,0.8036,0.858
459,0.772,0.8172,0.8564
460,0.7688,0.8116,0.8504
461,0.7516,0.7988,0.8704
462,0.7556,0.7924,0.8628
463,0.7548,0.7988,0.8472
464,0.7484,0.7828,0.8512
465,0.7624,0.7968,0.8548
466,0.7544,0.794,0.8544
467,0.7508,0.8016,0.8568
468,0.754,0.7944,0.8616
469,0.7512,0.8024,0.8556
470,0.7624,0.8072,0.858
471,0.7556,0.7956,0.854
472,0.7668,0.8036,0.8556
473,0.7584,0.7916,0.86
474,0.7632,0.792,0.854
475,0.7608,0.806,0.8572
476,0.758,0.7896,0.8484
477,0.7444,0.8016,0.8628
478,0.7712,0.8104,0.8624
479,0.768,0.804,0.868
480,0.7532,0.7868,0.8464
481,0.762,0.8112,0.8556
482,0.7436,0.778,0.848
483,0.7548,0.7944,0.8508
484,0.7428,0.7888,0.8508
485,0.7588,0.7956,0.8612
486,0.7612,0.7876,0.8556
487,0.7588,0.7972,0.8648
488,0.7492,0.7924,0.8496
489,0.7532,0.8032,0.8476
490,0.7636,0.8004,0.8612
491,0.7596,0.798,0.86
492,0.7628,0.7932,0.8552
493,0.7652,0.788,0.8528
494,0.7544,0.7952,0.8612
495,0.7396,0.7948,0.848
496,0.7548,0.7996,0.8624
497,0.7652,0.8032,0.8524
498,0.7516,0.7884,0.8528
499,0.7532,0.7876,0.8504
500,0.75,0.7916,0.8524
501,0.758,0.8028,0.8624
502,0.7564,0.7988,0.8624
503,0.7576,0.8008,0.8592
504,0.754,0.8076,0.8636
505,0.7576,0.7988,0.85
506,0.7576,0.7976,0.8436
507,0.764,0.7892,0.8572
508,0.7708,0.8,0.8592
509,0.7688,0.8088,0.8596
510,0.7708,0.8048,0.8644
511,0.7572,0.7916,0.8628
512,0.7548,0.7968,0.85
513,0.7588,0.7956,0.8592
514,0.7388,0.792,0.8584
515,0.7696,0.7944,0.8576
516,0.744,0.7968,0.862
517,0.758,0.7972,0.8576
518,0.7412,0.7988,0.8564
519,0.7532,0.7916,0.8664
520,0.7532,0.7848,0.8592
521,0.7476,0.784,0.8448
522,0.7588,0.7948,0.8548
523,0.7508,0.796,0.856
524,0.7532,0.8032,0.8656
525,0.752,0.808,0.8552
526,0.7672,0.8008,0.8668
527,0.7624,0.7932,0.8584
528,0.7516,0.7924,0.8556
529,0.7548,0.79,0.844
530,0.76,0.8144,0.8668
531,0.7476,0.79,0.862
532,0.76,0.7912,0.8604
533,0.7476,0.7976,0.8496
534,0.7504,0.7892,0.8496
535,0.7608,0.7996,0.8712
536,0.7604,0.8076,0.862
537,0.7648,0.7928,0.858
538,0.7588,0.8052,0.8528
539,0.7576,0.8012,0.8456
540,0.7504,0.7856,0.856
541,0.7584,0.7936,0.8468
542,0.7468,0.7836,0.8412
543,0.7612,0.8048,0.8592
544,0.7416,0.7836,0.85
545,0.7672,0.8072,0.862
546,0.754,0.7968,0.86
547,0.76,0.808,0.8564
548,0.7428,0.7944,0.8672
549,0.756,0.7932,0.8632
550,0.766,0.798,0.8588
551,0.7592,0.7944,0.852
552,0.7612,0.8036,0.864
553,0.75,0.7876,0.8504
554,0.76,0.808,0.8588
555,0.7516,0.8028,0.8584
556,0.7432,0.79,0.8472
557,0.7564,0.7992,0.8452
558,0.7468,0.7824,0.8432
559,0.758,0.7908,0.8604
560,0.7676,0.7972,0.8632
561,0.7644,0.808,0.8588
562,0.772,0.7944,0.8644
563,0.764,0.8052,0.8512
564,0.754,0.7984,0.862
565,0.75,0.794,0.8604
566,0.7652,0.8124,0.8668
567,0.7652,0.802,0.8656
568,0.7616,0.7948,0.8552
569,0.7648,0.7816,0.842
570,0.7408,0.7952,0.8428
571,0.7568,0.8032,0.8692
572,0.7552,0.7984,0.8616
573,0.764,0.7976,0.8536
574,0.7548,0.7964,0.8556
575,0.7552,0.8064,0.8568
576,0.7396,0.7892,0.8376
577,0.7416,0.7972,0.8532
578,0.7552,0.7956,0.85
579,0.7684,0.8048,0.8748
580,0.7548,0.788,0.8484
581,0.75,0.7924,0.8568
582,0.7564,0.7892,0.8512
583,0.7588,0.81,0.8676
584,0.7584,0.7996,0.8544
585,0.7536,0.792,0.8596
586,0.7572,0.796,0.85
587,0.7592,0.796,0.8472
588,0.7704,0.8072,0.8656
589,0.746,0.7924,0.8552
590,0.7584,0.8028,0.8592
591,0.7636,0.798,0.8672
592,0.7592,0.7844,0.8496
593,0.7396,0.7836,0.8404
594,0.7756,0.8032,0.8712
595,0.7528,0.796,0.8508
596,0.7552,0.7936,0.8572
597,0.764,0.8016,0.8668
598,0.7524,0.7884,0.8572
599,0.7544,0.7872,0.8544
600,0.754,0.7876,0.842
601,0.756,0.7896,0.8668
602,0.76,0.7876,0.8396
603,0.7636,0.7972,0.8528
604,0.7536,0.7996,0.8572
605,0.7524,0.796,0.8336
606,0.7576,0.8144,0.8648
607,0.751500600240096,0.7983193277310925,0.8495398159263705
